file_name,message_text,message_date,peer_id,post_author,from,file_size,access_hash,file_reference,date,mime_type,duration,width,height
1.mp4,"18,05,23 Артёмовск - Часов Яр - Григоровка

Поражение высокоточным боеприпасом склада ВСУ в населённом пункте Григоровка

 48.639848, 37.860229 

Источник https://t.me/The_Wrong_Side/9544",2023-05-21 00:32:11+00:00,1605069564,,https://t.me/creamy_caprice/807,11457515,2873557661124878252,"b""\x02_\xabj\xfc\x00\x00\x03'dl_v\x8b\xee\x8b\xa5\x80\x89\xe3\xc6`OB+\xadk\xe8\x0f""",2023-05-21 00:32:10+00:00,video/mp4,47,480,480
53зновуїбашитьпідарівуїбучомумісці.mp4,"🗡 Бійці 53 ОМБр поділилися кадрами як зупиняли атаку біля Водяного в тому самому місці, за яке місяць тому йшли важкі бої. Власне, боротьба за той район продовжується

📍 deepstatemap.live/#15/48.1127/37.6799",2023-05-21 05:23:02+00:00,1469021333,,https://t.me/DeepStateUA/16602,20216742,-8980393870367746738,b'\x02W\x8f|\x95\x00\x00@\xdadl_w\xc2\xf7e\x06\x89@\xfc\xa6\xd8\xc2\xee\xe3\x1b\xd4G\xbc',2023-05-20 23:13:51+00:00,video/mp4,166,1280,720
@DeepStateUA_biden_g7_bakhmut.mp4,"🇺🇸Байден у своїй промові на саміті G7 у Хіросімі, Японія, згадав про Бахмут, розповів про втрати московитів та спробував виправдати шалену затримку в рішенні щодо F-16.

Мапа🛑Блог🛑Написати нам🛑 ЗСУHelp🛑Магазин🛑Донат",2023-05-21 13:12:49+00:00,1469021333,,https://t.me/DeepStateUA/16606,33253619,-4304239838108708020,b'\x02W\x8f|\x95\x00\x00@\xdedl_wMX:\xc8\x90\xe5T3\\\x88\xa9\xfff\xa84A',2023-05-21 13:12:49+00:00,video/mp4,49,1280,1174
59відео12.mp4,"🪢 Відео від АероСкіфів з 9-го бату 59-ї ОМПБр. Невдала атака кацапів на Первомайське закінчилася ще до її початку

Мапа🛑Блог🛑Написати нам🛑 ЗСУHelp🛑Магазин🛑Донат",2023-05-21 13:29:01+00:00,1469021333,,https://t.me/DeepStateUA/16607,43482655,-3049308013199648294,b'\x02W\x8f|\x95\x00\x00@\xdfdl_w|\xa6\x95\xdb\xaaL\xcc\x1f\x13\xdaj\x1e\xa9Q+\xba',2023-05-21 13:22:55+00:00,video/mp4,363,1280,720
діпстейтмомент.mp4,"— кремль називає передачу F-16 ""колосальним ризиком""

— Так, для них😎

Мапа🛑Блог🛑Написати нам🛑 ЗСУHelp🛑Магазин🛑Донат",2023-05-21 18:04:26+00:00,1469021333,,https://t.me/DeepStateUA/16609,14167856,8205477248107928144,b'\x02W\x8f|\x95\x00\x00@\xe1dl_w\xa3\xedu%9\xde\xfe;\xfd\xc3\xa4+\xa4\x0b}B',2023-05-21 18:04:26+00:00,video/mp4,23,1280,720
1.mp4,"22,05,23 Гуляй-поле - Дорожнянка

Работа тяжелой огнемётной системы ВС РФ по опорному пункту ВСУ в районе Гуляй-поля на запад от Дорожнянки.

 47.586284, 36.210444 

Источник https://t.me/ZSU_Hunter_2_0/722",2023-05-21 21:09:51+00:00,1605069564,,https://t.me/creamy_caprice/813,16597012,-6945955579198278753,b'\x02_\xabj\xfc\x00\x00\x03-dl_v\xcd#7\x91Bv\xaaxz\x08\x16\xaa\xfbq9\xe7',2023-05-21 21:09:50+00:00,video/mp4,40,1280,720
1.mp4,"21,05,23 Артёмовск - Самолёт - Квадраты

Флаг России и чёрное знамя ЧВК Вагнер реют над укрепрайоном Самолёт в Артёмовске.
Репортаж РИА Новости. Репортерская группа ведёт съёмку из укрепрайона Квадраты многоэтажек на Самолёте с установленными флагами.

  48.575859, 37.964740",2023-05-21 21:39:16+00:00,1605069564,,https://t.me/creamy_caprice/815,47599951,5325575597421075637,b'\x02_\xabj\xfc\x00\x00\x03/dl_v\xe66\xdd\xdf\x02\xfb\xe5\x1c|\xa3\xcc\x91\x19\x8eZn',2023-05-21 21:39:15+00:00,video/mp4,114,1280,720
бнр 3.MOV,,2023-05-22 09:53:12+00:00,1469021333,,https://t.me/DeepStateUA/16621,877624,-8449719990712669711,b'\x02W\x8f|\x95\x00\x00@\xeddl_w\x95:.\xc7\xf5:\xdc\xeb\x7f\xc5G2G7\xdb\xc4',2023-05-22 09:52:59+00:00,video/quicktime,2,720,1280
бнр 2.MP4,,2023-05-22 09:53:12+00:00,1469021333,,https://t.me/DeepStateUA/16620,1984431,-4690798923612351558,b'\x02W\x8f|\x95\x00\x00@\xecdl_w@l\xc7\x907\xbfT\xdbNW\x7f\xfe\xcb\xf3B\xa5',2023-05-22 09:52:58+00:00,video/mp4,7,720,1280
бнр 1.MP4,"⚪️🔵⚪️Сьогодні в мережі з'явилося відео, як РДК втретє перейшов кордон з територією ерефії

📆Нагадаємо, вперше подібна акція трапилась 2 березня, потім 6 квітня із рейдами на Брянщину. 

🤔За повідомленнями, цей захід супроводжувався потужним артилерійським обстрілом, та інформацією про застосування танків, бронетехніки та авіації і оголошенням по радіо прохання цивільним перебувати в укриттях. 

☠️Паралельно з цим, інша організація, легіон ""Свобода России"" зробили заяву про початок звільнення країни від диктатури.

⚡️ Тож мапу оновлено!😈

📍https://deepstatemap.live/",2023-05-22 09:53:12+00:00,1469021333,,https://t.me/DeepStateUA/16619,2151312,7716713084202234588,b'\x02W\x8f|\x95\x00\x00@\xebdl_w\xbc\x02\xfam\x84rt\x88\xf1\x0cNf\xad{\x1d?',2023-05-22 09:52:56+00:00,video/mp4,5,720,1280
